エイシンフラッシュ,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,ムーンレディ,プラティニ,Surumu,Literat
,,,,Surama
,,,Prairie Darling,Stanford
,,,,Prairie Belle
,,Midnight Fever,Sure Blade,Kris
,,,,Double Lock
,,,Majoritat,Konigsstuhl
,,,,Monacchia
カスタリア,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,カタリスト,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Welsh Love,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Welsh Flame,Welsh Pageant
,,,,Electric Flash
