ストロングリターン,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,コートアウト,Smart Strike,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Classy'n Smart,Smarten
,,,,No Class
,,アザール,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Smart Heiress,Vaguely Noble
,,,,Smartaire
リクエストアワー,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ハッピーリクエスト,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,エイプリルソネット,Dike,Herbager
,,,,Delta
,,,Pass Me,Pass
,,,,Schooner
