テイエムオペラオー,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,ワンスウエド,Blushing Groom,Red God,Nasrullah
,,,,Spring Run
,,,Runaway Bride,Wild Risk
,,,,Aimee
,,Noura,Key to the Kingdom,Bold Ruler
,,,,Key Bridge
,,,River Guide,Drone
,,,,Blue Canoe
テイエムノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,アラマサブレーヴ,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,アラホウトク,トウショウボーイ,テスコボーイ
,,,,ソシアルバターフライ
,,,ビンゴモレロ,デュール
,,,,フラワースウイース
