アッミラーレ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダジルミージョリエ,Carr de Naskra,Star de Naskra,Naskra
,,,,Candle Star
,,,Cornish Runner,Cornish Prince
,,,,Gunner's Runner
,,Mawgrit,Hoist the Flag,Tom Rolfe
,,,,Wavy Navy
,,,Spring Sunshine,Nashua
,,,,Real Delight
ミスヨナ,ティンバーカントリー,Woodman,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,プレイメイト,Buckpasser
,,,,Intriguing
,,Fall Aspen,Pretense,Endeavour
,,,,Imitation
,,,Change Water,Swaps
,,,,Portage
,ゴージャスクィーン,フジキセキ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ミルレーサー,Le Fabuleux
,,,,Marston's Mill
,,マヤノゴージャス,ブレイヴェストローマン,Never Bend
,,,,Roman Song
,,,ファーストジョオー,ゴーマーチング
,,,,ハザマファースト
