ワールドエース,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,マンデラ,Acatenango,Surumu,Literat
,,,,Surama
,,,Aggravate,Aggressor
,,,,Raven Locks
,,Mandellicht,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Mandelauge,Elektrant
,,,,Mandriale
グレイスサンセット,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,ワールドウッド,ラシアンボンド,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Somfas,What a Pleasure
,,,,Ciboulette
,,キョウエイミート,クラウンドプリンス,Raise a Native
,,,,Gay Hostess
,,,キョウエイオリーブ,Little Current
,,,,Fiorita
