オンファイア,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
アドマイヤダッシュ,フサイチコンコルド,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,バレークイーン,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Sun Princess,イングリッシュプリンス
,,,,Sunny Valley
,シンコウエンジェル,オジジアン,Damascus,Sword Dancer
,,,,Kerala
,,,Gonfalon,Francis S.
,,,,Grand Splendor
,,A Kiss for Luck,Reflected Glory,Jester
,,,,Lysistrate
,,,Painted Flag,Dusty Canyon
,,,,Duchess Peg
