ワークフォース,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,Soviet Moon,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Eva Luna,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Media Luna,Star Appeal
,,,,Sounion
ラインドリーム,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,ダイナグロリア,カーネギー,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Detroit,Riverman
,,,,Derna
,,ダイナエイコーン,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,ライバリュウ,リマンド
,,,,クリゲンの壱
