日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/23,園田,晴,4,C3二,"

",10,8,9,63.4,6,3,"
大柿一真
",54,ダ1400,重,"


 
",1:35.8,0.8,"


 
",7-7-3-3,0.0-42.4,42.7,427(-6),"

 
","


 
",ナイトアルニラム,12.5
2021/11/09,園田,雨,3,C3三,"

",10,4,4,6.9,4,2,"
大柿一真
",54,ダ1400,重,"

**

",1:38.3,0.5,"

**

",4-4-4-3,0.0-40.3,40.5,433(+4),"

 
","


 
",デラウェア,20.0
2021/10/21,園田,曇,2,C3二,"

",12,1,1,27.1,6,5,"
大柿一真
",54,ダ1400,良,"

**

",1:35.3,0.8,"

**

",8-8-8-6,0.0-40.3,40.4,429(+5),"

 
","


 
",プローン,5.0
2021/10/07,園田,晴,3,C3二,"

",10,7,7,6.2,3,5,"
佐々木世
",51,ダ1400,良,"

**

",1:35.8,1.1,"

**

",6-6-6-8,0.0-39.3,39.6,424(-3),"

 
","


 
",アグネスフォース,5.0
2021/09/10,園田,晴,2,C3二,"

",10,4,4,23.7,6,6,"
佐々木世
",50,ダ1400,稍,"

**

",1:34.8,0.7,"

**

",10-10-10-10,0.0-42.0,41.7,427(+1),"

 
","


 
",メイショウナガヨリ, 
2021/08/26,園田,曇,2,C3一,"

",10,1,1,85.6,10,5,"
中田貴士
",54,ダ1400,良,"

**

",1:34.1,0.7,"

**

",5-5-5-4,0.0-41.7,41.9,426(-5),"

 
","


 
",キクノナナ,5.0
2021/08/11,園田,晴,2,C3二,"

",10,5,5,8.9,4,3,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.1,1.0,"

**

",7-7-7-5,0.0-41.9,41.9,431(+6),"

 
","


 
",オオエハピネス,12.5
2021/07/29,園田,晴,3,C3二,"

",10,7,7,35.7,9,6,"
中田貴士
",54,ダ1400,良,"

**

",1:33.9,1.3,"

**

",10-10-8-8,0.0-40.3,40.2,425(+1),"

 
","


 
",タンバドリーム, 
2021/07/16,園田,曇,4,C3二,"

",10,1,1,24.4,6,5,"
中田貴士
",54,ダ1400,重,"

**

",1:34.2,1.3,"

**

",7-8-7-6,0.0-41.0,41.3,424(0),"

 
","


 
",ハシルショウグン,5.0
2021/06/30,園田,晴,4,C3一,"

",9,8,8,15.2,6,8,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.8,1.2,"

**

",8-8-7-7,0.0-40.3,41.1,424(+2),"

 
","


 
",ヴィンテージパール, 
2021/06/17,園田,晴,3,C3一,"

",10,3,3,28.0,10,7,"
中田貴士
",54,ダ1400,重,"

**

",1:34.5,0.8,"

**

",6-6-5-5,0.0-42.7,42.6,422(+4),"

 
","


 
",アルファアリエス, 
2021/06/03,園田,曇,4,C3一,"

",10,7,7,24.7,7,5,"
中田貴士
",54,ダ1400,良,"

**

",1:33.9,0.3,"

**

",4-4-2-2,0.0-40.2,40.3,418(-6),"

 
","


 
",アルジェンタータ,5.0
2021/05/20,園田,雨,1,C3三,"

",10,8,10,15.6,6,2,"
中田貴士
",54,ダ1400,重,"

**

",1:36.0,0.7,"

**

",4-4-3-4,0.0-41.7,42.0,424(+5),"

 
","


 
",ツインフルムーン,20.0
2021/05/03,園田,晴,7,C3一,"

",10,4,4,9.7,6,3,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.3,0.6,"

**

",5-5-3-4,0.0-40.5,40.7,419(-5),"

 
","


 
",エメラルドブルー,12.5
2021/04/21,園田,晴,5,C3一,"

",10,7,7,18.5,7,4,"
中田貴士
",54,ダ1400,良,"

**

",1:34.8,0.7,"

**

",8-9-8-7,0.0-41.6,41.5,424(+4),"

 
","


 
",ディーシャイン,7.5
2021/04/06,姫路,晴,5,C3一,"

",9,8,9,14.8,5,4,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.1,0.2,"

**

",2-2-2-2,0.0-39.2,39.3,420(-2),"

 
","


 
",テイケイラフイン,7.5
2021/03/23,姫路,晴,4,C3二,"

",10,2,2,4.7,2,4,"
中田貴士
",54,ダ1400,良,"

**

",1:34.6,0.5,"

**

",7-8-8-7,0.0-40.5,40.1,422(+3),"

 
","


 
",サンデージュピター,3.5
2021/03/10,姫路,晴,4,C3二,"

",10,6,6,25.6,8,3,"
竹村達也
",54,ダ1400,良,"

**

",1:33.5,0.6,"

**

",8-8-7-7,0.0-41.1,40.3,419(+2),"

 
","


 
",ラファームソルティ,4.9
2021/02/25,姫路,晴,4,C3一,"

",10,8,9,91.3,10,3,"
中田貴士
",54,ダ1400,良,"

**

",1:33.5,0.4,"

**

",1-1-1-1,0.0-39.1,39.5,417(-1),"

 
","


 
",コスモソレイユ,4.9
2021/02/10,姫路,晴,3,C3一,"

",10,3,3,92.2,10,7,"
中田貴士
",54,ダ1400,良,"

**

",1:34.1,0.6,"

**

",6-6-7-6,0.0-40.7,40.5,418(-2),"

 
","


 
",スパーダネーラ, 
2021/01/28,姫路,晴,1,C3四,"

",10,3,3,5.5,3,3,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.8,0.3,"

**

",4-5-4-4,0.0-40.1,40.1,420(+1),"

 
","


 
",シェナフブキ,4.9
2021/01/13,姫路,晴,3,C3二,"

",10,1,1,46.4,8,5,"
廣瀬航
",54,ダ1400,良,"

**

",1:34.9,0.9,"

**

",8-7-6-6,0.0-40.2,39.9,419(-1),"

 
","


 
",プローン,2.8
2020/12/31,園田,晴,4,C3一,"

",7,7,7,28.7,6,3,"
中田貴士
",54,ダ1400,重,"

**

",1:37.2,0.7,"

**

",3-3-4-4,0.0-39.9,40.3,420(-3),"

 
","


 
",シブヤクロッシング,4.9
2020/12/15,園田,晴,3,C3一,"

",10,8,9,13.6,4,6,"
中田貴士
",54,ダ1400,良,"

**

",1:36.1,1.2,"

**

",5-5-5-6,0.0-39.5,40.2,423(+3),"

 
","


 
",カシノワンパンチ, 
2020/12/01,園田,晴,4,C3一,"

",10,6,6,54.1,9,5,"
中田貴士
",54,ダ1400,良,"

**

",1:34.3,0.4,"

**

",3-3-3-3,0.0-41.2,41.2,420(0),"

 
","


 
",ソードヴァルキリー,2.8
2020/11/19,園田,晴,4,C3二,"

",9,5,5,8.7,4,3,"
中田貴士
",54,ダ1400,良,"

**

",1:34.0,0.2,"

**

",5-4-4-3,0.0-41.0,40.8,420(-4),"

 
","


 
",リーディングレディ,4.9
2020/11/04,園田,晴,5,C3二,"

",10,7,7,25.9,8,6,"
中田貴士
",54,ダ1400,稍,"

**

",1:33.1,1.0,"

**

",6-6-7-7,0.0-40.2,40.6,424(+1),"

 
","


 
",イヴリーヌ, 
2020/10/14,園田,晴,4,C3一,"

",10,3,3,37.1,6,3,"
中田貴士
",54,ダ1400,稍,"

**

",1:35.5,0.9,"

**

",7-7-7-6,0.0-41.3,41.1,423(-2),"

 
","


 
",ヨウウッドテール,4.9
2020/09/30,園田,曇,1,C3二,"

",10,2,2,1.6,1,2,"
中田貴士
",54,ダ1400,良,"

**

",1:35.7,0.3,"

**

",4-5-5-3,0.0-42.3,42.1,425(+2),"

 
","


 
",レイルチル,9.8
2020/09/17,園田,曇,4,C3二,"

",10,7,8,19.6,7,6,"
廣瀬航
",54,ダ1400,良,"

**

",1:34.2,1.0,"

**

",2-2-2-1,0.0-40.9,41.9,423(+4),"

 
","


 
",ホクサイ, 
2020/09/02,園田,晴,3,C3二,"

",10,4,4,6.8,4,3,"
中田貴士
",54,ダ1400,良,"

**

",1:34.5,0.3,"

**

",6-6-6-5,0.0-40.6,40.3,419(+1),"

 
","


 
",ルナダイコク,4.9
2020/08/19,園田,晴,3,C3二,"

",10,2,2,28.2,5,4,"
中田貴士
",54,ダ1400,良,"

**

",1:34.7,1.4,"

**

",5-5-6-5,0.0-40.3,40.9,418(+3),"

 
","


 
",マルキーズ,3.5
2020/08/05,園田,晴,5,C3,"

",10,8,10,10.0,4,5,"
中田貴士
",54,ダ1230,良,"

**

",1:22.3,0.5,"

**

",8-8-6-5,0.0-41.3,40.3,415(-1),"

 
","


 
",メイショウイギョク,2.8
2020/07/23,園田,曇,3,C3三,"

",10,7,7,4.2,2,4,"
中田貴士
",54,ダ1400,良,"

**

",1:34.9,1.1,"

**

",5-5-5-4,0.0-41.0,41.6,416(-2),"

 
","


 
",コメハチコルテ,3.5
2020/07/08,園田,曇,3,C3四,"

",9,1,1,6.2,3,2,"
中田貴士
",54,ダ1400,不,"

**

",1:32.8,0.6,"

**

",2-2-3-2,0.0-39.6,40.1,418(+5),"

 
","


 
",マイネルシャテール,9.8
2020/06/19,園田,曇,8,3歳C2,"

",12,8,11,10.7,6,4,"
廣瀬航
",54,ダ1400,不,"

**

",1:33.0,1.2,"

**

",2-2-3-3,0.0-40.3,41.4,413(+2),"

 
","


 
",アンリーシュ,4.0
